GameID,Team,Date,HT,AT,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,DRtg
20100101NYKATL,NYK,01-01-10,ATL,NYK,45,88,0.511363636,11,24,0.458333333,11,17,0.647058824,10,36,46,25,5,2,13,16,112,0.587,0.574,0.273,0.193,24.4,67.9,48.9,55.6,5.2,2.7,12,115.7,111.5
20100101NYKATL,ATL,01-01-10,ATL,NYK,46,100,0.46,7,27,0.259259259,9,14,0.642857143,17,31,48,26,7,7,10,18,108,0.509,0.495,0.27,0.14,32.1,75.6,51.1,56.5,7.2,10.9,8.6,111.5,115.7
20100101SACLAL,SAC,01-01-10,LAL,SAC,43,79,0.544303797,10,19,0.526315789,12,16,0.75,4,30,34,31,5,1,13,24,108,0.628,0.608,0.241,0.203,12.5,66.7,44.2,72.1,5.4,1.5,13.1,115.9,116.9
20100101SACLAL,LAL,01-01-10,LAL,SAC,39,86,0.453488372,8,20,0.4,23,29,0.793103448,15,28,43,20,3,6,12,15,109,0.552,0.5,0.233,0.337,33.3,87.5,55.8,51.3,3.2,10,10.8,116.9,115.9
20100101ORLMIN,ORL,01-01-10,MIN,ORL,36,80,0.45,15,37,0.405405405,19,23,0.826086957,9,29,38,22,14,5,11,15,106,0.588,0.544,0.463,0.288,23.1,63,44.7,61.1,15.4,7.4,10.9,116.9,103.7
20100101ORLMIN,MIN,01-01-10,MIN,ORL,37,86,0.430232558,8,18,0.444444444,12,16,0.75,17,30,47,18,5,4,19,20,94,0.505,0.477,0.209,0.186,37,76.9,55.3,48.6,5.5,9.3,17,103.7,116.9
20100102TORBOS,TOR,02-01-10,BOS,TOR,35,71,0.492957746,8,15,0.533333333,18,25,0.72,5,23,28,22,6,4,16,27,96,0.585,0.549,0.211,0.352,15.2,74.2,43.8,62.9,6.7,7.4,16.3,107.8,115.6
20100102TORBOS,BOS,02-01-10,BOS,TOR,36,70,0.514285714,6,16,0.375,25,31,0.806451613,8,28,36,26,10,5,14,21,103,0.616,0.557,0.229,0.443,25.8,84.8,56.3,72.2,11.2,8.9,14.3,115.6,107.8
20100102ORLCHI,ORL,02-01-10,CHI,ORL,33,92,0.358695652,14,37,0.378378378,13,20,0.65,16,32,48,19,4,7,12,23,93,0.461,0.435,0.402,0.217,29.6,66.7,47.1,57.6,4.3,8.5,10.6,100.4,109
20100102ORLCHI,CHI,02-01-10,CHI,ORL,37,87,0.425287356,3,5,0.6,24,27,0.888888889,16,38,54,21,5,7,12,22,101,0.511,0.443,0.057,0.31,33.3,70.4,52.9,56.8,5.4,12.7,10.8,109,100.4
